date,X,Y,Z,LPBP,Accumulated_Index,Index_with_which_day
2019-11-28 10:00:23,161.11,75.04,4,656,86.27,144.9
2019-11-28 08:00:24,167.78,75.04,4,656,89.61,148.23
2019-11-28 06:00:24,167.78,75.04,4,656,89.61,148.23
2019-11-28 04:00:22,167.78,75.04,4,656,89.61,148.23
2019-11-28 02:00:24,164.44,71.71,4,656,87.69,143.71
2019-11-28 00:00:23,177.78,71.71,4,656,94.35,150.37
2019-11-27 22:00:23,177.78,71.71,3,656,94.35,170.87
2019-11-27 20:00:26,177.78,71.71,3,656,94.35,170.87
2019-11-27 18:00:23,177.78,71.04,3,656,94.3,170.11
2019-11-27 16:00:21,167.11,60.38,3,656,88.16,152.59
2019-11-27 14:00:20,167.78,57.05,3,656,88.24,149.12
2019-11-27 12:00:21,165.78,53.72,3,656,86.98,144.31
2019-11-27 10:00:22,170.44,57.05,3,656,89.57,150.45
2019-11-27 08:00:22,173.78,57.05,3,656,91.24,152.12
2019-11-27 06:00:22,173.78,57.05,3,656,91.24,152.12
2019-11-27 04:00:23,170.44,53.72,3,656,89.32,146.64
2019-11-27 02:00:22,170.44,53.72,3,656,89.32,146.64
2019-11-27 00:00:21,171.78,53.72,3,656,89.98,147.31
2019-11-26 22:00:25,171.78,53.72,2,656,89.98,178.02
2019-11-26 20:00:23,171.78,53.72,2,656,89.98,178.02
2019-11-26 18:00:20,171.78,56.39,2,656,90.19,182.59
2019-11-26 16:00:23,171.11,55.06,2,656,89.75,179.97
2019-11-26 14:00:21,163.78,44.4,2,656,85.27,158.03
2019-11-26 12:00:20,175.56,29.3,2,656,90.01,138.03
2019-11-26 10:00:20,175.56,29.3,2,656,90.01,138.03
2019-11-26 08:00:23,175.56,29.3,2,656,90.01,138.03
2019-11-26 06:00:21,175.56,29.3,2,656,90.01,138.03
2019-11-26 04:00:20,182.22,29.3,2,656,93.34,141.37
2019-11-26 02:00:24,182.22,29.3,2,656,93.34,141.37
2019-11-26 00:00:20,182.22,29.3,2,656,93.34,141.37
2019-11-25 22:00:22,178.89,25.97,1,656,91.42,178.53
2019-11-25 20:00:22,175.56,25.97,1,656,89.76,176.87
2019-11-25 18:00:20,176.22,26.64,1,656,90.14,179.48
2019-11-25 16:00:20,163.56,13.99,1,656,82.84,129.75
2019-11-25 14:00:18,160.22,4.0,1,656,80.42,93.82
2019-11-25 12:00:18,156.89,0.67,1,656,78.5,80.73
2019-11-25 10:00:20,156.89,0.0,1,656,78.44,78.44
