date,X,Y,Z,LPBP,Accumulated_Index,Index_with_which_day
2019-11-06 14:00:31,117.33,541.68,33,656,107.24,124.9
2019-11-06 12:00:32,117.33,541.68,33,656,107.24,124.9
2019-11-06 10:00:36,114.0,538.35,33,656,105.27,122.83
2019-11-06 08:00:32,114.0,538.35,33,656,105.27,122.83
2019-11-06 06:00:34,114.67,538.35,33,656,105.61,123.16
2019-11-06 04:00:31,114.67,538.35,33,656,105.61,123.16
2019-11-06 02:00:33,114.67,538.35,33,656,105.61,123.16
2019-11-06 00:00:33,114.67,538.35,33,656,105.61,123.16
2019-11-05 22:00:32,114.67,538.35,32,656,105.61,125.22
2019-11-05 20:00:35,114.67,538.35,32,656,105.61,125.22
2019-11-05 18:00:32,120.0,543.68,32,656,108.75,128.56
2019-11-05 16:00:55,124.0,543.01,32,656,110.69,130.47
2019-11-05 14:00:32,124.0,536.35,32,656,110.09,129.63
2019-11-05 12:01:01,124.0,536.35,32,656,110.09,129.63
2019-11-05 10:00:51,124.0,533.02,32,656,109.8,129.21
2019-11-05 08:00:33,124.0,533.02,32,656,109.8,129.21
2019-11-05 06:00:32,124.0,533.02,32,656,109.8,129.21
2019-11-05 04:00:31,124.0,533.02,32,656,109.8,129.21
2019-11-05 02:00:38,124.0,533.02,32,656,109.8,129.21
2019-11-05 00:00:33,118.67,527.03,32,656,106.59,125.79
2019-11-04 22:00:31,118.67,527.03,31,656,106.59,127.93
2019-11-04 20:00:33,118.67,538.13,31,656,107.59,129.38
2019-11-04 18:00:33,118.67,527.03,31,656,106.59,127.93
2019-11-04 16:00:34,120.0,523.03,31,656,106.9,128.08
2019-11-04 14:00:38,127.78,516.37,31,656,110.19,131.1
2019-11-04 12:00:33,131.11,516.37,31,656,111.86,132.77
2019-11-04 10:00:33,131.11,516.37,31,656,111.86,132.77
2019-11-04 08:00:32,134.44,523.03,31,656,114.12,135.3
2019-11-04 06:00:32,134.44,523.03,31,656,114.12,135.3
2019-11-04 04:00:33,134.44,522.37,31,656,114.06,135.22
2019-11-04 02:00:32,134.44,522.37,31,656,114.06,135.22
2019-11-04 00:00:31,134.44,522.37,31,656,114.06,135.22
2019-11-03 22:00:31,134.44,522.37,30,656,114.06,137.48
2019-11-03 20:00:33,134.44,522.37,30,656,114.06,137.48
2019-11-03 18:00:31,134.44,522.37,30,656,114.06,137.48
2019-11-03 16:00:31,145.56,522.37,30,656,119.62,143.04
2019-11-03 14:00:29,145.56,522.37,30,656,119.62,143.04
2019-11-03 12:00:31,137.56,511.71,30,656,114.66,137.61
2019-11-03 10:00:31,137.56,511.71,30,656,114.66,137.61
2019-11-03 08:00:32,137.56,511.71,30,656,114.66,137.61
2019-11-03 06:00:33,137.56,511.71,30,656,114.66,137.61
2019-11-03 04:00:32,137.56,511.71,30,656,114.66,137.61
2019-11-03 02:00:33,137.56,511.71,30,656,114.66,137.61
2019-11-03 00:00:34,137.56,511.71,30,656,114.66,137.61
2019-11-02 22:00:31,137.56,511.71,30,656,114.66,137.61
2019-11-02 20:00:34,137.56,511.71,30,656,114.66,137.61
2019-11-02 18:00:31,137.56,511.71,30,656,114.66,137.61
2019-11-02 16:00:37,137.56,511.71,30,656,114.66,137.61
2019-11-02 14:00:31,137.56,511.71,30,656,114.66,137.61
2019-11-02 12:00:34,137.56,511.71,30,656,114.66,137.61
2019-11-02 10:00:33,137.56,511.71,30,656,114.66,137.61
2019-11-02 08:00:31,137.56,511.71,30,656,114.66,137.61
2019-11-02 06:00:32,137.56,511.71,30,656,114.66,137.61
2019-11-02 04:00:35,137.56,511.71,30,656,114.66,137.61
2019-11-02 02:00:36,137.56,511.71,30,656,114.66,137.61
2019-11-02 00:00:36,137.56,511.71,30,656,114.66,137.61
2019-11-01 22:00:36,138.22,511.71,30,656,115.0,137.94
2019-11-01 20:00:37,138.22,511.71,30,656,115.0,137.94
2019-11-01 18:00:40,141.56,515.04,30,656,116.96,140.05
2019-11-01 16:00:36,140.89,514.37,30,656,116.57,139.63
2019-11-01 14:00:35,144.22,514.37,30,656,118.24,141.3
2019-11-01 12:00:32,144.22,514.37,30,656,118.24,141.3
2019-11-01 10:00:34,155.33,525.47,30,656,124.79,148.35
2019-11-01 08:00:33,156.67,525.47,30,656,125.45,149.01
2019-11-01 06:00:35,156.67,525.47,30,656,125.45,149.01
2019-11-01 04:00:34,156.67,525.47,30,656,125.45,149.01
2019-11-01 02:00:36,156.67,525.47,30,656,125.45,149.01
2019-11-01 00:00:37,145.56,514.37,30,656,118.9,141.96
2019-10-31 22:00:43,145.56,514.37,29,656,118.9,144.35
2019-10-31 20:00:33,138.89,496.61,29,656,113.98,138.54
2019-10-31 18:00:37,135.56,489.95,29,656,111.71,135.95
2019-10-31 16:00:32,135.56,489.95,29,656,111.71,135.95
2019-10-31 14:00:33,138.22,489.29,29,656,112.99,137.19
2019-10-31 12:00:34,138.22,489.29,29,656,112.99,137.19
2019-10-31 10:00:32,138.22,489.29,29,656,112.99,137.19
2019-10-31 08:00:35,138.22,489.29,29,656,112.99,137.19
2019-10-31 06:00:31,138.22,489.29,29,656,112.99,137.19
2019-10-31 04:00:31,138.22,489.29,29,656,112.99,137.19
2019-10-31 02:00:34,138.22,489.29,29,656,112.99,137.19
2019-10-31 00:00:31,140.22,489.29,29,656,113.99,138.19
2019-10-30 22:00:33,140.22,489.29,28,656,113.99,140.62
2019-10-30 20:00:35,140.22,489.29,28,656,113.99,140.62
2019-10-30 18:00:34,140.22,489.29,28,656,113.99,140.62
2019-10-30 16:00:38,146.89,485.96,28,656,117.02,143.48
2019-10-30 14:00:32,132.44,449.33,28,656,106.51,130.98
2019-10-30 12:00:36,132.44,449.33,28,656,106.51,130.98
2019-10-30 10:00:31,133.11,449.99,28,656,106.91,131.41
2019-10-30 08:00:35,133.11,449.99,28,656,106.91,131.41
2019-10-30 06:00:30,133.11,449.99,28,656,106.91,131.41
2019-10-30 04:00:34,133.11,449.99,28,656,106.91,131.41
2019-10-30 02:00:33,133.11,449.99,28,656,106.91,131.41
2019-10-30 00:00:33,122.67,438.89,28,656,100.69,124.58
2019-10-29 22:00:34,122.67,438.89,27,656,100.69,126.93
2019-10-29 20:00:33,122.67,438.89,27,656,100.69,126.93
2019-10-29 18:00:33,119.33,435.56,27,656,98.72,124.76
2019-10-29 16:00:31,122.67,425.57,27,656,99.49,124.94
2019-10-29 14:00:32,122.67,433.34,27,656,100.19,126.1
2019-10-29 12:00:31,122.67,433.34,27,656,100.19,126.1
2019-10-29 10:00:32,122.67,433.34,27,656,100.19,126.1
2019-10-29 08:00:32,133.78,433.34,27,656,105.75,131.65
2019-10-29 06:00:31,133.78,433.34,27,656,105.75,131.65
2019-10-29 04:00:32,133.78,433.34,27,656,105.75,131.65
2019-10-29 02:00:35,133.78,433.34,27,656,105.75,131.65
2019-10-29 00:00:31,133.78,433.34,27,656,105.75,131.65
2019-10-28 22:00:31,133.78,433.34,26,656,105.75,134.14
2019-10-28 20:00:32,133.78,418.91,26,656,104.45,131.9
2019-10-28 18:00:34,133.78,415.58,26,656,104.15,131.39
2019-10-28 16:00:35,137.11,415.58,26,656,105.82,133.05
2019-10-28 14:00:32,140.44,408.92,26,656,106.89,133.69
2019-10-28 12:00:34,141.11,405.59,26,656,106.93,133.5
2019-10-28 10:00:33,141.78,402.93,26,656,107.02,133.42
2019-10-28 08:00:33,149.11,406.26,26,656,110.98,137.61
2019-10-28 06:00:32,149.11,406.26,26,656,110.98,137.61
2019-10-28 04:00:34,149.11,406.26,26,656,110.98,137.61
2019-10-28 02:00:29,149.11,406.26,26,656,110.98,137.61
2019-10-28 00:00:33,149.11,406.26,26,656,110.98,137.61
2019-10-27 22:00:33,149.11,406.26,25,656,110.98,140.13
2019-10-27 20:00:34,149.11,406.26,25,656,110.98,140.13
2019-10-27 18:00:38,149.11,406.26,25,656,110.98,140.13
2019-10-27 16:00:34,149.11,406.26,25,656,110.98,140.13
2019-10-27 14:00:32,149.11,406.26,25,656,110.98,140.13
2019-10-27 12:00:33,149.11,406.26,25,656,110.98,140.13
2019-10-27 10:00:34,149.11,406.26,25,656,110.98,140.13
2019-10-27 08:00:35,149.11,406.26,25,656,110.98,140.13
2019-10-27 06:00:35,149.11,406.26,25,656,110.98,140.13
2019-10-27 04:00:32,149.11,406.26,25,656,110.98,140.13
2019-10-27 02:00:34,149.11,406.26,25,656,110.98,140.13
2019-10-27 00:00:36,149.11,406.26,25,656,110.98,140.13
2019-10-26 22:00:35,149.11,406.26,25,656,110.98,140.13
2019-10-26 20:00:37,149.11,406.26,25,656,110.98,140.13
2019-10-26 18:00:32,149.11,406.26,25,656,110.98,140.13
2019-10-26 16:00:34,149.11,406.26,25,656,110.98,140.13
2019-10-26 14:00:33,149.11,406.26,25,656,110.98,140.13
2019-10-26 12:00:33,149.11,406.26,25,656,110.98,140.13
2019-10-26 10:00:32,149.11,406.26,25,656,110.98,140.13
2019-10-26 08:00:37,149.11,406.26,25,656,110.98,140.13
2019-10-26 06:00:34,149.11,406.26,25,656,110.98,140.13
2019-10-26 04:00:36,155.78,406.26,25,656,114.32,143.46
2019-10-26 02:00:35,155.78,406.26,25,656,114.32,143.46
2019-10-26 00:00:33,155.78,406.26,25,656,114.32,143.46
2019-10-25 22:00:34,155.78,406.26,25,656,114.32,143.46
2019-10-25 20:00:35,155.78,406.26,25,656,114.32,143.46
2019-10-25 18:00:34,159.78,406.26,25,656,116.32,145.46
2019-10-25 16:00:44,161.11,400.27,25,656,116.45,145.16
2019-10-25 14:00:36,164.44,400.27,25,656,118.11,146.83
2019-10-25 12:00:32,164.44,400.27,25,656,118.11,146.83
2019-10-25 10:00:36,165.11,400.27,25,656,118.45,147.16
2019-10-25 08:00:35,158.44,393.61,25,656,114.52,142.75
2019-10-25 06:00:37,169.56,393.61,25,656,120.07,148.31
2019-10-25 04:00:35,169.56,393.61,25,656,120.07,148.31
2019-10-25 02:00:35,169.56,393.61,25,656,120.07,148.31
2019-10-25 00:00:37,169.56,390.28,25,656,119.77,147.77
2019-10-24 22:00:36,169.56,390.28,24,656,119.77,150.4
2019-10-24 20:00:36,169.56,390.28,24,656,119.77,150.4
2019-10-24 18:00:32,172.22,392.94,24,656,121.35,152.18
2019-10-24 16:00:34,177.33,382.95,24,656,123.01,153.05
2019-10-24 14:00:36,169.56,361.86,24,656,117.23,145.62
2019-10-24 12:00:33,168.89,360.53,24,656,116.77,145.06
2019-10-24 10:00:34,168.22,355.87,24,656,116.02,143.94
2019-10-24 08:00:33,168.22,352.54,24,656,115.72,143.38
2019-10-24 06:00:36,168.22,352.54,24,656,115.72,143.38
2019-10-24 04:00:29,168.22,352.54,24,656,115.72,143.38
2019-10-24 02:00:34,168.22,352.54,24,656,115.72,143.38
2019-10-24 00:00:32,167.56,351.87,24,656,115.33,142.94
2019-10-23 22:00:32,167.56,351.87,23,656,115.33,145.51
2019-10-23 20:00:33,170.89,355.2,23,656,117.3,147.76
2019-10-23 18:00:33,167.56,351.87,23,656,115.33,145.51
2019-10-23 16:00:34,178.67,351.2,23,656,120.83,150.95
2019-10-23 14:00:36,173.33,348.54,23,656,117.92,147.81
2019-10-23 12:00:26,173.33,348.54,23,656,117.92,147.81
2019-10-23 10:00:32,169.33,344.54,23,656,115.56,145.11
2019-10-23 08:00:31,169.33,341.21,23,656,115.26,144.53
2019-10-23 06:00:29,169.33,341.21,23,656,115.26,144.53
2019-10-23 04:00:32,169.33,341.21,23,656,115.26,144.53
2019-10-23 02:00:30,180.44,340.55,23,656,120.76,149.97
2019-10-23 00:00:33,181.11,340.55,23,656,121.09,150.3
2019-10-22 22:00:32,181.11,340.55,22,656,121.09,153.02
2019-10-22 20:00:38,169.33,329.45,22,656,114.21,145.09
2019-10-22 18:00:27,168.67,326.78,22,656,113.64,144.27
2019-10-22 16:00:32,160.89,311.69,22,656,108.39,137.61
2019-10-22 14:00:27,164.22,311.69,22,656,110.06,139.28
2019-10-22 12:00:27,164.22,311.69,22,656,110.06,139.28
2019-10-22 10:00:33,164.89,311.02,22,656,110.33,139.49
2019-10-22 08:00:30,165.56,311.02,22,656,110.67,139.82
2019-10-22 06:00:28,165.56,311.02,22,656,110.67,139.82
2019-10-22 04:01:17,165.56,311.02,22,656,110.67,139.82
2019-10-22 02:00:30,165.56,311.02,22,656,110.67,139.82
2019-10-22 00:00:30,165.56,311.02,22,656,110.67,139.82
2019-10-21 22:00:31,165.56,311.02,21,656,110.67,142.54
2019-10-21 20:00:31,165.56,311.02,21,656,110.67,142.54
2019-10-21 18:00:33,162.22,301.03,21,656,108.1,138.95
2019-10-21 16:00:33,166.22,297.04,21,656,109.75,140.19
2019-10-21 14:00:33,167.56,297.7,21,656,110.47,140.98
2019-10-21 12:00:27,167.56,297.7,21,656,110.47,140.98
2019-10-21 10:00:39,164.22,294.37,21,656,108.51,138.67
2019-10-21 08:00:27,164.22,294.37,21,656,108.51,138.67
2019-10-21 06:00:30,164.22,294.37,21,656,108.51,138.67
2019-10-21 04:00:30,164.22,294.37,21,656,108.51,138.67
2019-10-21 02:00:30,164.22,294.37,21,656,108.51,138.67
2019-10-21 00:00:30,164.22,294.37,21,656,108.51,138.67
2019-10-20 22:00:30,160.89,294.37,20,656,106.84,139.84
2019-10-20 20:00:28,160.89,294.37,20,656,106.84,139.84
2019-10-20 18:00:26,160.89,294.37,20,656,106.84,139.84
2019-10-20 16:00:28,160.89,294.37,20,656,106.84,139.84
2019-10-20 14:00:30,160.89,294.37,20,656,106.84,139.84
2019-10-20 12:00:30,160.89,294.37,20,656,106.84,139.84
2019-10-20 10:00:30,160.89,294.37,20,656,106.84,139.84
2019-10-20 08:00:32,160.89,294.37,20,656,106.84,139.84
2019-10-20 06:00:31,160.89,294.37,20,656,106.84,139.84
2019-10-20 04:00:27,164.22,294.37,20,656,108.51,141.5
2019-10-20 02:06:14,164.22,294.37,20,656,108.51,141.5
2019-10-20 00:00:29,164.22,294.37,20,656,108.51,141.5
2019-10-19 22:00:31,164.22,294.37,20,656,108.51,141.5
2019-10-19 20:00:28,164.22,294.37,20,656,108.51,141.5
2019-10-19 18:00:31,164.22,294.37,20,656,108.51,141.5
2019-10-19 16:00:30,164.22,294.37,20,656,108.51,141.5
2019-10-19 14:00:32,164.22,294.37,20,656,108.51,141.5
2019-10-19 12:00:30,164.22,294.37,20,656,108.51,141.5
2019-10-19 10:00:28,164.22,294.37,20,656,108.51,141.5
2019-10-19 08:00:32,164.22,294.37,20,656,108.51,141.5
2019-10-19 06:00:27,164.22,294.37,20,656,108.51,141.5
2019-10-19 04:00:31,164.22,294.37,20,656,108.51,141.5
2019-10-19 02:00:33,164.22,294.37,20,656,108.51,141.5
2019-10-19 00:00:30,164.22,294.37,20,656,108.51,141.5
2019-10-18 22:00:30,164.22,294.37,20,656,108.51,141.5
2019-10-18 20:00:27,162.89,293.04,20,656,107.72,140.57
2019-10-18 18:00:29,165.56,295.7,20,656,109.29,142.44
2019-10-18 16:00:30,168.22,294.37,20,656,110.51,143.5
2019-10-18 14:00:30,164.89,291.04,20,656,108.54,141.16
2019-10-18 12:00:30,164.89,291.04,20,656,108.54,141.16
2019-10-18 10:00:26,165.56,291.71,20,656,108.94,141.63
2019-10-18 08:00:31,162.89,289.04,20,656,107.36,139.76
2019-10-18 06:00:30,162.89,289.04,20,656,107.36,139.76
2019-10-18 04:00:26,162.89,289.04,20,656,107.36,139.76
2019-10-18 02:00:38,162.89,289.04,20,656,107.36,139.76
2019-10-18 00:00:31,162.89,289.04,20,656,107.36,139.76
2019-10-17 22:00:30,159.56,285.71,19,656,105.4,140.46
2019-10-17 20:00:31,157.56,283.72,19,656,104.22,139.03
2019-10-17 18:00:29,154.89,281.05,19,656,102.65,137.13
2019-10-17 16:00:28,151.56,277.72,19,656,100.68,134.76
2019-10-17 14:00:28,157.33,267.07,19,656,102.61,135.39
2019-10-17 12:00:23,160.0,266.4,19,656,103.89,136.58
2019-10-17 10:00:35,160.0,266.4,19,656,103.89,136.58
2019-10-17 08:00:24,160.0,266.4,19,656,103.89,136.58
2019-10-17 06:00:27,160.0,266.4,19,656,103.89,136.58
2019-10-17 04:00:35,160.0,266.4,19,656,103.89,136.58
2019-10-17 02:00:24,160.0,266.4,19,656,103.89,136.58
2019-10-17 00:00:29,160.0,266.4,19,656,103.89,136.58
2019-10-16 22:00:28,160.67,267.07,18,656,104.28,140.2
2019-10-16 20:00:28,156.67,263.07,18,656,101.92,137.31
2019-10-16 18:00:24,152.67,259.07,18,656,99.56,134.41
2019-10-16 16:00:25,152.67,255.08,18,656,99.21,133.52
2019-10-16 14:00:25,152.67,262.18,18,656,99.84,135.11
2019-10-16 12:00:23,152.67,262.18,18,656,99.84,135.11
2019-10-16 10:00:24,152.67,262.18,18,656,99.84,135.11
2019-10-16 08:00:27,138.89,255.08,18,656,92.32,126.63
2019-10-16 06:00:27,138.89,255.08,18,656,92.32,126.63
2019-10-16 04:00:28,142.22,255.08,18,656,93.98,128.29
2019-10-16 02:00:24,142.22,255.08,18,656,93.98,128.29
2019-10-16 00:00:23,149.56,255.08,18,656,97.65,131.96
2019-10-15 22:00:27,149.56,255.08,17,656,97.65,135.32
2019-10-15 20:00:25,149.56,251.75,17,656,97.35,134.53
2019-10-15 18:00:24,154.89,253.75,17,656,100.2,137.67
2019-10-15 16:00:29,154.89,250.42,17,656,99.9,136.88
2019-10-15 14:00:24,153.56,249.08,17,656,99.11,135.9
2019-10-15 12:00:24,153.56,249.08,17,656,99.11,135.9
2019-10-15 10:00:25,146.89,239.09,17,656,94.88,130.2
2019-10-15 08:00:22,147.56,239.09,17,656,95.22,130.53
2019-10-15 06:00:26,147.56,239.09,17,656,95.22,130.53
2019-10-15 04:00:25,150.89,239.09,17,656,96.88,132.2
2019-10-15 02:00:26,147.56,235.76,17,656,94.92,129.74
2019-10-15 00:00:24,140.89,229.1,17,656,90.99,124.82
2019-10-14 22:00:27,140.89,229.1,16,656,90.99,128.22
2019-10-14 20:00:25,152.67,229.1,16,656,96.88,134.11
2019-10-14 18:00:25,138.89,215.34,16,656,88.75,123.75
2019-10-14 16:00:23,139.56,212.68,16,656,88.85,123.41
2019-10-14 14:00:26,139.56,201.58,16,656,87.85,120.61
2019-10-14 12:00:26,136.22,198.25,16,656,85.89,118.11
2019-10-14 10:00:23,136.22,198.25,16,656,85.89,118.11
2019-10-14 08:00:25,136.22,198.25,16,656,85.89,118.11
2019-10-14 06:00:25,136.22,198.25,16,656,85.89,118.11
2019-10-14 04:00:22,136.22,198.25,16,656,85.89,118.11
2019-10-14 02:00:25,136.22,198.25,16,656,85.89,118.11
2019-10-14 00:00:25,136.22,198.25,16,656,85.89,118.11
2019-10-13 22:00:23,136.22,198.25,15,656,85.89,121.44
2019-10-13 20:00:24,136.22,198.25,15,656,85.89,121.44
2019-10-13 18:00:25,136.22,198.25,15,656,85.89,121.44
2019-10-13 16:00:23,132.22,194.25,15,656,83.53,118.37
2019-10-13 14:00:25,131.56,193.58,15,656,83.14,117.85
2019-10-13 12:00:23,131.56,193.58,15,656,83.14,117.85
2019-10-13 10:00:25,131.56,193.58,15,656,83.14,117.85
2019-10-13 08:00:23,131.56,193.58,15,656,83.14,117.85
2019-10-13 06:00:23,131.56,193.58,15,656,83.14,117.85
2019-10-13 04:00:26,131.56,193.58,15,656,83.14,117.85
2019-10-13 02:00:23,131.56,193.58,15,656,83.14,117.85
2019-10-13 00:00:22,131.56,193.58,15,656,83.14,117.85
2019-10-12 22:00:25,131.56,193.58,15,656,83.14,117.85
2019-10-12 20:00:24,131.56,193.58,15,656,83.14,117.85
2019-10-12 18:00:24,130.22,192.25,15,656,82.35,116.83
2019-10-12 16:00:24,130.22,192.25,15,656,82.35,116.83
2019-10-12 14:00:22,130.22,192.25,15,656,82.35,116.83
2019-10-12 12:00:24,129.56,191.59,15,656,81.96,116.32
2019-10-12 10:00:31,126.22,188.26,15,656,79.99,113.75
2019-10-12 08:00:25,126.89,188.26,15,656,80.33,114.09
2019-10-12 06:00:25,126.89,188.26,15,656,80.33,114.09
2019-10-12 04:00:24,126.89,188.26,15,656,80.33,114.09
2019-10-12 02:00:25,126.89,188.26,15,656,80.33,114.09
2019-10-12 00:00:27,124.22,185.59,15,656,78.75,112.04
2019-10-11 22:00:20,113.78,185.59,15,656,73.53,106.82
2019-10-11 20:00:23,113.78,185.59,15,656,73.53,106.82
2019-10-11 18:00:27,113.78,185.59,15,656,73.53,106.82
2019-10-11 16:00:22,118.44,185.59,15,656,75.86,109.15
2019-10-11 14:00:24,115.78,182.93,15,656,74.29,107.1
2019-10-11 12:00:24,112.44,179.6,15,656,72.33,104.54
2019-10-11 10:00:26,112.44,179.6,15,656,72.33,104.54
2019-10-11 08:00:24,112.44,179.6,15,656,72.33,104.54
2019-10-11 06:00:25,112.44,179.6,15,656,72.33,104.54
2019-10-11 04:00:24,112.44,179.6,15,656,72.33,104.54
2019-10-11 02:00:23,112.44,179.6,15,656,72.33,104.54
2019-10-11 00:00:24,112.44,179.6,15,656,72.33,104.54
2019-10-10 22:00:24,112.44,179.6,14,656,72.33,107.99
2019-10-10 20:00:25,115.78,168.5,14,656,73.0,106.45
2019-10-10 18:00:23,119.11,171.16,14,656,74.9,108.89
2019-10-10 16:00:24,119.11,171.16,14,656,74.9,108.89
2019-10-10 14:00:23,116.44,167.83,14,656,73.27,106.6
2019-10-10 12:00:22,113.78,161.17,14,656,71.34,103.34
2019-10-10 10:00:23,121.11,161.17,14,656,75.01,107.01
2019-10-10 08:00:25,124.44,164.5,14,656,76.97,109.64
2019-10-10 06:00:25,124.44,164.5,14,656,76.97,109.64
2019-10-10 04:00:23,124.44,164.5,14,656,76.97,109.64
2019-10-10 02:00:24,121.11,161.17,14,656,75.01,107.01
2019-10-10 00:00:26,121.11,161.17,14,656,75.01,107.01
2019-10-09 22:00:25,121.11,161.17,13,656,75.01,110.58
2019-10-09 20:00:25,124.44,164.5,13,656,76.97,113.28
2019-10-09 18:00:24,127.78,167.83,13,656,78.94,115.98
2019-10-09 16:00:25,124.44,164.5,13,656,76.97,113.28
2019-10-09 14:00:23,124.44,164.5,13,656,76.97,113.28
2019-10-09 12:00:23,124.44,153.4,13,656,75.98,109.84
2019-10-09 10:00:24,131.11,150.07,13,656,79.01,112.14
2019-10-09 08:00:25,131.11,150.07,13,656,79.01,112.14
2019-10-09 06:00:24,131.11,150.07,13,656,79.01,112.14
2019-10-09 04:00:25,131.11,150.07,13,656,79.01,112.14
2019-10-09 02:00:24,131.11,150.07,13,656,79.01,112.14
2019-10-09 00:00:20,131.11,150.07,13,656,79.01,112.14
2019-10-08 22:00:24,131.11,146.74,12,656,78.71,114.9
2019-10-08 20:00:23,127.78,146.74,12,656,77.05,113.23
2019-10-08 18:00:24,127.78,146.74,12,656,77.05,113.23
2019-10-08 16:00:26,134.44,146.74,12,656,80.38,116.57
2019-10-08 14:00:25,127.11,140.08,12,656,76.12,110.66
2019-10-08 12:00:23,127.11,140.08,12,656,76.12,110.66
2019-10-08 10:00:22,127.11,139.42,12,656,76.06,110.44
2019-10-08 08:00:25,130.44,139.42,12,656,77.72,112.1
2019-10-08 06:00:22,130.44,139.42,12,656,77.72,112.1
2019-10-08 04:00:24,130.44,139.42,12,656,77.72,112.1
2019-10-08 02:00:24,130.44,139.42,12,656,77.72,112.1
2019-10-08 00:00:24,130.44,139.42,12,656,77.72,112.1
2019-10-07 22:00:23,130.44,139.42,11,656,77.72,116.36
2019-10-07 20:00:22,130.44,139.42,11,656,77.72,116.36
2019-10-07 18:00:24,132.44,134.31,11,656,78.27,115.49
2019-10-07 16:00:25,132.44,134.31,11,656,78.27,115.49
2019-10-07 14:00:19,132.44,134.31,11,656,78.27,115.49
2019-10-07 12:00:22,132.44,123.21,11,656,77.27,111.42
2019-10-07 10:00:33,132.44,123.21,11,656,77.27,111.42
2019-10-07 08:00:21,132.44,123.21,11,656,77.27,111.42
2019-10-07 06:00:23,132.44,123.21,11,656,77.27,111.42
2019-10-07 04:00:22,132.44,123.21,11,656,77.27,111.42
2019-10-07 02:00:23,132.44,123.21,11,656,77.27,111.42
2019-10-07 00:00:24,132.44,123.21,11,656,77.27,111.42
2019-10-06 22:00:23,132.44,123.21,10,656,77.27,115.94
2019-10-06 20:00:23,132.44,119.88,10,656,76.97,114.6
2019-10-06 18:00:24,132.44,119.88,10,656,76.97,114.6
2019-10-06 16:00:23,132.44,119.88,10,656,76.97,114.6
2019-10-06 14:00:19,132.44,119.88,10,656,76.97,114.6
2019-10-06 12:00:23,132.44,119.88,10,656,76.97,114.6
2019-10-06 10:00:21,132.44,119.88,10,656,76.97,114.6
2019-10-06 08:00:25,132.44,119.88,10,656,76.97,114.6
2019-10-06 06:00:24,132.44,119.88,10,656,76.97,114.6
2019-10-06 04:00:21,132.44,119.88,10,656,76.97,114.6
2019-10-06 02:00:22,132.44,119.88,10,656,76.97,114.6
2019-10-06 00:00:21,132.44,119.88,10,656,76.97,114.6
2019-10-05 22:00:24,132.44,119.88,10,656,76.97,114.6
2019-10-05 20:00:21,132.44,119.88,10,656,76.97,114.6
2019-10-05 18:00:24,132.44,119.88,10,656,76.97,114.6
2019-10-05 16:00:24,132.44,119.88,10,656,76.97,114.6
2019-10-05 14:00:20,132.44,119.88,10,656,76.97,114.6
2019-10-05 12:00:23,129.11,113.22,10,656,74.71,110.24
2019-10-05 10:00:20,129.11,113.22,10,656,74.71,110.24
2019-10-05 08:00:22,129.11,113.22,10,656,74.71,110.24
2019-10-05 06:00:21,129.11,113.22,10,656,74.71,110.24
2019-10-05 04:00:23,129.11,113.22,10,656,74.71,110.24
2019-10-05 02:00:22,129.11,113.22,10,656,74.71,110.24
2019-10-05 00:00:22,129.11,113.22,10,656,74.71,110.24
2019-10-04 22:00:22,129.11,113.22,10,656,74.71,110.24
2019-10-04 20:00:24,129.11,113.22,10,656,74.71,110.24
2019-10-04 18:00:19,129.11,113.22,10,656,74.71,110.24
2019-10-04 16:00:22,132.44,113.22,10,656,76.37,111.91
2019-10-04 14:00:21,132.44,113.22,10,656,76.37,111.91
2019-10-04 12:00:24,132.44,113.22,10,656,76.37,111.91
2019-10-04 10:00:21,132.44,113.22,10,656,76.37,111.91
2019-10-04 08:00:23,132.44,113.22,10,656,76.37,111.91
2019-10-04 06:00:23,132.44,113.22,10,656,76.37,111.91
2019-10-04 04:00:23,132.44,113.22,10,656,76.37,111.91
2019-10-04 02:00:20,143.56,113.22,10,656,81.93,117.46
2019-10-04 00:00:22,143.56,113.22,10,656,81.93,117.46
2019-10-03 22:00:23,143.56,113.22,9,656,81.93,122.54
